id	input	joke
en_11207	jealous pen	My pen stopped writing—it got tired of me typing instead.
en_11208	confused mirror	The mirror paused—it wasnt sure who I was today.
en_11209	shy blanket	The blanket hid in the corner—it wasnt ready to cover responsibilities.
en_11210	moody lamp	The lamp refused to turn on—it wasnt in the right light.
en_11211	quiet keyboard	The keyboard stayed silent—it didnt want to press any more issues.
en_11212	anxious slippers	My slippers ran away—they couldnt handle another Monday.
en_11213	lazy notebook	The notebook stayed closed—it didnt want to take notes on my life.
en_11214	dramatic broom	The broom swept the room and then fainted—it was overwhelmed.
en_11215	grumpy fridge	The fridge hummed loudly—it was complaining about being opened too much.
en_11216	forgetful charger	My charger stopped working—it forgot its purpose again.
en_11217	excited mug	The mug jumped off the shelf—it couldnt wait for tea time.
en_11218	brave spoon	The spoon dove into hot soup—it lives dangerously.
en_11219	scared remote	The remote hid under the couch—it was tired of being pushed around.
en_11220	chilly towel	The towel refused to dry me—it said I was too cold to deal with.
en_11221	proud pillow	My pillow puffed up—it said its the backbone of my sleep schedule.
en_11222	angry notebook	The notebook snapped shut—it was done documenting my drama.
en_11223	spooky drawer	The drawer opened by itself—turns out it was just being nosy.
en_11224	dizzy clock	The clock kept ticking in circles—it was losing track of time.
en_11225	bored ruler	The ruler sighed—it was tired of measuring up to expectations.
en_11226	shy stapler	The stapler clicked quietly—it didnt want to make a scene.
en_11227	proud eraser	The eraser bragged—it fixes more mistakes than I do.
en_11228	dramatic lamp	The lamp flickered—it wanted attention again.
en_11229	sleepy socks	My socks refused to move—they were too exhausted from yesterdays walk.
en_11230	cranky blender	The blender growled—it wasnt in the mood to mix feelings today.
en_11231	polite scissors	The scissors refused to cut in—they didnt want to interrupt.
en_11232	sneaky candle	The candle flickered—it was plotting a waxy escape.
en_11233	nervous spoon	The spoon trembled—it didnt want to stir up trouble.
en_11234	moody curtain	The curtain closed itself—it needed space.
en_11235	angry charger	The charger sparked—it was shocked by my battery percentage.
en_11236	shy backpack	The backpack hid under the bed—it wasnt ready to carry my problems.
en_11237	dramatic comb	The comb sighed—it couldnt handle the tangled drama.
en_11238	jealous soap	The soap slid away—it didnt want to deal with dirty work.
en_11239	confused drawer	The drawer opened halfway—it couldn't decide on commitment.
en_11240	lazy towel	The towel refused to dry me—it said it needed a break.
en_11241	hungry notebook	The notebook ate my pen cap—it was starving for ideas.
en_11242	rude kettle	The kettle screamed—it wanted everyone to know it was boiling mad.
en_11243	sleepy glasses	My glasses fogged up—they were too tired to focus.
en_11244	sassy ruler	The ruler snapped—it said I wasnt measuring up.
en_11245	clumsy mug	The mug fell over—it couldnt handle the pressure.
en_11246	guilty remote	The remote hid—it didn't want to change again.
en_11247	proud charger	The charger bragged—it gives life to everything.
en_11248	confused pillow	The pillow went flat—it didnt know how to support me anymore.
en_11249	excited fridge	The fridge lit up—it thought I came to visit.
en_11250	shy carpet	The carpet blushed—it didnt want footprints today.
en_11251	annoyed sponge	The sponge groaned—it was tired of soaking up my mess.
en_11252	tiny stapler	The stapler complained—it felt under a lot of pressure.
en_11253	jumpy switch	The switch flipped—it was easily startled.
en_11254	friendly lamp	The lamp brightened—it was happy to see me.
en_11255	guilty cup	The cup dripped—it couldnt hold itself together.
en_11256	quiet charger	The charger whispered—it didnt want to cause a spark.
en_11257	brave broom	The broom stood tall—it was sweeping away its fears.
en_11258	sleepy pen	The pen scribbled lazily—it needed a nap.
en_11259	multitasking mom	Mom: Master of multitasking manager of money maker of meals made of magic.
en_11260	home mom	Home is where your mom is.
en_11261	fabulous dna	You're welcome for the fabulous DNA.
en_11262	womb board	You're welcome for the womb and board.
en_11263	fitted sheet	My greatest failure: never being able to teach you how to fold a fitted sheet.
en_11264	empty house	I never expected to miss having you in the house so much!
en_11265	laundry love	I love you loads… like the loads of laundry you probably have waiting for me.
en_11266	massage favorite	I'll say you're my favorite if you give me a massage!
en_11267	m-other magic	I'm a woman like no m-other.
en_11268	mom-ory phone	How do I always find your missing phone? I have an amazing mom-ory.
en_11269	spoon phone	Never make fun of me for how I use my phone if I taught you how to use a spoon.
en_11270	motherboard smart	Why is a computer so smart? Because it listens to its motherboard.
en_11271	mothers fathersday	Why is Mother's Day before Father's Day? So kids can spend their Christmas money on mom.
en_11272	dinner mom	I hate when I'm waiting for mom to cook dinner and then I remember I am the mom and I have to cook dinner.
en_11273	nothing lost	Nothing is really lost until mom can't find it.
en_11274	happy meal	At my age I'm no longer a snack; I'm a Happy Meal. I come with toys and kids.
en_11275	mom-ent celebrate	It's Mother's Day. Take a mom-ent to celebrate how awesome I am!
en_11276	rosé right	I always did my best to rosé you right.
en_11277	chicken up	Aw honey I'll always be chicken up on you!
en_11278	knit mom	I'm knit-really the best mom.
en_11279	mom-mental role	I think I had a pretty mom-mental role in your life!
en_11280	ketchup tomato	What did the Mama tomato say to the baby tomato? Ketchup!
en_11281	popcorn corn	What did the baby corn say to the mama corn? Where's Pop-corn?
en_11282	mombie mom	Mombie: A sleep-deprived supermom who feeds on caffeine and kisses.
en_11283	wafer cookie	Why did the cookie cry? Because his mother was a wafer so long!
en_11284	mars bars	What sweets do astronaut moms like? Mars bars.
en_11285	calm-omile tea	What warm drink helps mom relax? Calm-omile tea.
en_11286	ther-mom-eter	How does a mom always know when kids are sick? She uses a ther-mom-eter.
en_11287	mum-dane life	What's it like living with kids? Well it's never mum-dane.
en_11288	mini-mum mom	What do you call a short mom? A mini-mum.
en_11289	bedtime chaos	Bedtime at my house is like a circus, except no one bought tickets.
en_11290	mom wifi	My kids treat me like WiFi—I'm invisible until they need something.
en_11291	snack thief	Having kids means buying snacks for them and watching them steal mine instead.
en_11292	coffee survival	My parenting style is mostly powered by coffee and hope.
en_11293	toy explosion	My living room didnt get messy—the toys just had a party.
en_11294	mom magic	Moms don't hide snacks; we teleport them to secret dimensions.
en_11295	cereal dinner	If dinner takes too long - guess what? Suddenly its cereal night.
en_11296	chaos coordinator	My official job title should be Chaos Coordinator full-time and unpaid.
en_11297	mom taxi	I dont run a taxi service… but somehow every ride is free.
en_11298	toddler logic	Toddlers dont make mistakes—they create alternative realities.
en_11299	mom fuel	I run on caffeine - leftovers - and sheer determination.
en_11300	sibling drama	My kids dont need TV—they create their own drama series.
en_11301	cookie police	Moms know when cookies go missing—we have crumbs as evidence.
en_11302	breakfast battle	Making breakfast is easy… getting kids to eat it is the real war.
en_11303	mom retreat	My favorite vacation spot is anywhere the kids cant find me.
en_11304	morning meltdown	Getting kids ready in the morning should count as cardio.
en_11305	laundry mountain	My laundry pile has reached a point where it deserves its own zip code.
en_11306	homework horror	Helping with homework reminds me why I graduated.
en_11307	calm chaos	Motherhood is basically calm moments sprinkled between chaos storms.
en_11308	snack emergency	Kids only ask for snacks when you sit down for the first time all day.
en_11309	quiet house	My house is so quiet Im suspicious someone did something expensive.
en_11310	snack stash	I dont hide snacks from my kids—they hide them from me so I wont eat them first.
en_11311	bedtime chaos	Bedtime is the daily reminder that I am not in charge here.
en_11312	laundry mountain	My laundry pile is starting to look like a tourist attraction.
